Sim,K0,Kept,Missing,KeepViews,CLF_Cov,CLF_Set,MinPV_Cov,MinPV_Set,Fisher_Cov,Fisher_Set,AdjF_Cov,AdjF_Set,WAvgL_Cov,WAvgL_Set
1,6,4,2,"[0, 1, 3, 5]",90.36999999999999,4.4333,93.30000000000001,5.8562,83.42,3.6673,90.36,4.7318,95.94,6.2156
1,6,4,2,"[0, 1, 3, 4]",90.63,4.4643,93.08999999999999,5.7615,83.19,3.6051,89.92999999999999,4.6665,95.59,6.0601
1,6,4,2,"[2, 3, 4, 5]",90.95,4.4771,93.52000000000001,5.7201,83.31,3.583,90.4,4.6385,95.64,5.9874
1,6,4,2,"[0, 1, 2, 5]",90.48,4.4306,93.19,5.741,83.41,3.6332,90.36,4.707,95.66,6.1936
1,6,4,2,"[1, 2, 3, 4]",91.14999999999999,4.5242,93.2,5.6299,83.00999999999999,3.5045,90.09,4.5704,95.37,5.7908
1,6,3,3,"[1, 2, 5]",90.42999999999999,4.4566,92.36999999999999,5.4887,85.26,3.8624,90.24,4.6717,95.32000000000001,6.0279
1,6,3,3,"[0, 3, 4]",90.21000000000001,4.6686,92.78,5.6319,84.96000000000001,3.9418,90.22,4.759,95.23,6.0341
1,6,3,3,"[1, 2, 3]",90.66,4.6017,92.74,5.4958,84.61999999999999,3.7549,90.09,4.6435,94.46,5.6228
1,6,3,3,"[0, 1, 4]",90.36,4.8252,92.51,5.6787,84.65,4.0003,89.8,4.8196,94.83,6.0463
1,6,3,3,"[0, 2, 4]",90.25,4.6173,92.23,5.3753,84.99,3.8659,90.14999999999999,4.6522,95.5,6.0277
1,6,3,3,"[0, 1, 5]",89.62,4.8481,92.67,5.8864,85.06,4.1341,89.98,4.9703,95.08,6.208
1,6,2,4,"[1, 3]",90.67,4.9542,91.49000000000001,5.3608,87.02,4.2389,90.16,4.7806,93.73,5.5794
1,6,2,4,"[0, 1]",90.23,5.3469,91.92,5.7493,86.56,4.5799,89.8,5.1681,92.69,5.818
1,6,2,4,"[1, 5]",90.07,5.1727,91.46,5.6092,87.56,4.5217,89.96,4.9612,94.27,6.0223
1,6,2,4,"[4, 5]",89.68,5.4329,92.51,5.8355,87.29,4.6474,90.31,5.1771,93.22,5.8887
1,6,2,4,"[1, 2]",90.62,4.9455,91.59,5.3428,86.57000000000001,4.2322,89.96,4.8044,92.97,5.4686
1,6,2,4,"[2, 4]",90.25,4.9257,91.88,5.2536,87.47,4.2412,90.12,4.703,94.08999999999999,5.5749
2,6,6,0,"[0, 1, 2, 3, 4, 5]",90.2,4.034,94.86,6.0266,82.25,3.2865,90.63,4.559,96.31,6.2088
2,6,5,1,"[0, 1, 2, 3, 4]",90.62,4.1023,94.13,5.7687,83.46000000000001,3.4001,90.61,4.5562,95.93,6.0562
2,6,5,1,"[0, 1, 2, 3, 5]",89.8,3.9651,93.91000000000001,5.7567,83.34,3.4303,90.68,4.5677,96.2,6.184
2,6,5,1,"[0, 1, 2, 4, 5]",90.18,4.2291,93.95,5.88,83.47,3.5127,90.85,4.6733,96.12,6.2501
2,6,5,1,"[0, 1, 3, 4, 5]",90.72,4.2121,93.78,5.8287,83.02000000000001,3.4867,90.67,4.6429,96.11,6.223
2,6,5,1,"[0, 2, 3, 4, 5]",89.75999999999999,4.0821,94.04,5.8125,83.19,3.4621,90.56,4.6122,96.25,6.2159
2,6,5,1,"[1, 2, 3, 4, 5]",90.36999999999999,4.0752,94.08,5.7781,83.02000000000001,3.4145,90.51,4.5618,95.99,6.0744
2,6,4,2,"[1, 3, 4, 5]",90.25999999999999,4.2204,93.8,5.7707,84.25,3.6566,90.56,4.6481,95.64,6.0739
2,6,4,2,"[0, 1, 2, 3]",90.05,4.1282,94.1,5.7296,84.55,3.5906,90.61,4.5957,95.67999999999999,5.9632
2,6,4,2,"[0, 1, 2, 5]",89.75999999999999,4.288,93.88,5.8703,84.8,3.7366,90.82000000000001,4.7322,95.92,6.2317
2,6,4,2,"[2, 3, 4, 5]",89.96,4.2271,94.14,5.7977,84.32,3.6625,90.51,4.6582,95.71,6.0229
2,6,4,2,"[0, 2, 4, 5]",90.16,4.4486,93.89,5.8897,84.86,3.7682,90.74,4.7621,96.09,6.275
2,6,4,2,"[0, 1, 3, 4]",90.27,4.2165,93.82000000000001,5.763,84.58,3.6318,90.45,4.6242,95.82000000000001,6.0542
2,6,3,3,"[0, 3, 5]",89.29,4.3598,92.80000000000001,5.6502,86.13,4.0458,90.41,4.7588,95.89999999999999,6.1985
2,6,3,3,"[0, 3, 4]",90.33,4.4943,92.83,5.6203,86.07000000000001,3.958,90.28,4.7065,95.65,6.0302
2,6,3,3,"[2, 4, 5]",90.07,4.6238,93.05,5.6375,86.08,4.0613,90.7,4.8244,95.47,6.0796
2,6,3,3,"[0, 2, 5]",89.7,4.5567,92.82000000000001,5.6262,86.89,4.0967,90.86,4.8209,95.84,6.2483
2,6,3,3,"[1, 4, 5]",90.59,4.7743,92.83,5.7548,86.07000000000001,4.081,90.53,4.8671,95.27,6.1262
2,6,3,3,"[1, 3, 5]",89.86,4.242,92.81,5.5279,86.2,3.907,90.57,4.6321,95.56,6.0308
2,6,2,4,"[0, 2]",90.16,4.8085,92.34,5.428,88.33,4.473,90.83,4.8867,94.63000000000001,5.9164
2,6,2,4,"[1, 5]",90.01,4.9964,91.84,5.6163,88.47,4.5744,90.36999999999999,4.9775,94.43,6.0612
2,6,2,4,"[0, 1]",89.72,5.1011,92.55,5.7737,87.67,4.5849,90.58,5.1185,93.42,5.8412
2,6,2,4,"[3, 4]",90.61,4.9702,92.47999999999999,5.5171,87.71,4.3613,90.53,4.8461,93.28999999999999,5.5245
2,6,2,4,"[0, 3]",89.53,4.5474,92.14,5.4459,88.02,4.3772,90.22,4.7572,94.98,5.8906
2,6,2,4,"[4, 5]",90.22,5.5782,92.47999999999999,5.9252,87.78,4.7725,90.38000000000001,5.2827,93.30000000000001,5.974
